,mindex,n,predictors,rsquare,adjr,adjrRound,predrsq,cp,cpd,aic,sbic,sbc,msep,fpe,apc,hsp
13408,14885,9,Q1 Q4 xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.563431873,0.513058628,0.51,0.241746431,248.2355266,239,-495.6594707,-760.8689584,-468.4087658,0.000208015,0.00020508,0.548508672,2.39E-06
13716,171,3,xYield_GS10 xYield_SDXRSA xYield_TB3MS,0.553529837,0.537584474,0.54,0.477737823,243.4082349,240,-505.6857947,-762.3018324,-493.2991106,0.000183258,0.000182827,0.488991131,2.11E-06
13940,911,4,xYield_MSPNHSUS xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.556137993,0.534747053,0.53,0.375690041,243.5189727,240,-504.2013739,-762.2525688,-489.337353,0.000186631,0.000185948,0.497339358,2.15E-06
13739,912,4,Q4 xYield_CPALTT01USQ657N xYield_SDXRSA xYield_USSLIND,0.555985197,0.534586894,0.53,0.289378213,243.6296526,240,-504.171086,-762.2234964,-489.3070651,0.000186695,0.000186012,0.497510562,2.15E-06
14117,913,4,xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_NYXRSA,0.555972492,0.534573576,0.53,0.458925356,243.6388559,240,-504.1685679,-762.2210794,-489.304547,0.0001867,0.000186017,0.497524798,2.15E-06
13712,914,4,xYield_MSPNHSUS xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.555829808,0.534424016,0.53,0.494013336,243.7422116,240,-504.1402945,-762.1939402,-489.2762736,0.00018676,0.000186077,0.497684673,2.15E-06
14419,915,4,Q3 xYield_GS10 xYield_NYXRSA xYield_USSLIND,0.555813741,0.534407174,0.53,0.456883914,243.7538499,240,-504.1371113,-762.1908848,-489.2730904,0.000186767,0.000186084,0.497702676,2.15E-06
13449,916,4,xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_TB3MS,0.555770154,0.534361486,0.53,0.465554082,243.7854231,240,-504.1284764,-762.1825962,-489.2644556,0.000186786,0.000186102,0.497751514,2.15E-06
13167,2837,5,xYield_CASTHPI xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.557427017,0.530440859,0.53,0.462997396,244.5852464,240,-502.4573074,-761.9492199,-485.1159497,0.000190684,0.000189687,0.507339761,2.19E-06
14463,2838,5,xYield_CASTHPI xYield_GS10 xYield_POPTHM xYield_TB3MS xYield_UMCSENT,0.557071479,0.530063643,0.53,0.441928859,244.8427859,240,-502.3866417,-761.8818378,-485.045284,0.000190837,0.00018984,0.507747329,2.19E-06
13552,2839,5,Q4 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_POPTHM xYield_USSLIND,0.55690539,0.529887425,0.53,0.283800573,244.9630959,240,-502.3536495,-761.8503779,-485.0122918,0.000190908,0.000189911,0.507937724,2.19E-06
14095,2840,5,Q4 xYield_CASTHPI xYield_POPTHM xYield_TB3MS xYield_USSLIND,0.556674905,0.529642887,0.53,0.188166371,245.130051,240,-502.3078865,-761.8067393,-484.9665288,0.000191008,0.000190009,0.508201938,2.20E-06
13525,2841,5,xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_SDXRSA,0.556588337,0.52955104,0.53,0.413235624,245.1927583,240,-502.2907044,-761.7903545,-484.9493467,0.000191045,0.000190047,0.508301175,2.20E-06
13706,2842,5,Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_POPTHM xYield_UMCSENT,0.556229056,0.529169852,0.53,0.417747678,245.4530098,240,-502.2194299,-761.722386,-484.8780722,0.0001912,0.000190201,0.508713034,2.20E-06
14265,5993,6,xYield_CASTHPI xYield_MSPNHSUS xYield_POPTHM xYield_SDXRSA xYield_UMCSENT xYield_USSLIND,0.558748011,0.526062679,0.53,0.269365129,245.6283616,240,-500.7203631,-761.6493914,-480.9016686,0.000194867,0.000193493,0.517517765,2.24E-06
13411,5994,6,xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_POPTHM xYield_USSLIND,0.558609057,0.525913432,0.53,0.328143394,245.7290154,240,-500.6926555,-761.6231485,-480.873961,0.000194929,0.000193553,0.517680736,2.24E-06
13727,5995,6,xYield_CASTHPI xYield_GS10 xYield_MVLOAS xYield_POPTHM xYield_SDXRSA xYield_UMCSENT,0.558442104,0.525734112,0.53,0.434762075,245.8499505,240,-500.6593764,-761.5916281,-480.8406819,0.000195002,0.000193627,0.517876544,2.24E-06
13443,9593,7,Q1 Q3 Q4 xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_TB3MS,0.559785774,0.521267029,0.52,0.45320424,246.8766404,240,-498.9275705,-761.2936942,-476.6315392,0.000199331,0.000197508,0.528257071,2.29E-06
14142,12780,8,Q1 Q3 Q4 xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_POPTHM xYield_USSLIND,0.561620644,0.517227798,0.52,0.467422893,247.5475211,240,-497.2951325,-761.0851844,-472.5217644,0.00020359,0.000201249,0.53826326,2.34E-06
13497,12781,8,Q1 Q3 Q4 xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_POPTHM xYield_TB3MS,0.561258239,0.516828694,0.52,0.44635733,247.8100351,240,-497.2224137,-761.0172478,-472.4490455,0.000203758,0.000201415,0.538708238,2.34E-06
13975,14886,9,Q1 Q4 xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_POPTHM xYield_TB3MS xYield_USSLIND,0.561879795,0.511327464,0.51,0.324301122,249.3598007,240,-495.3471697,-760.5792215,-468.0964648,0.000208754,0.000205809,0.550458719,2.40E-06
13383,14887,9,Q1 Q3 Q4 xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_POPTHM xYield_TB3MS xYield_UMCSENT,0.561747114,0.511179473,0.51,0.424332228,249.4559106,240,-495.3205237,-760.5544971,-468.0698187,0.000208817,0.000205871,0.550625421,2.40E-06
