,mindex,n,predictors,rsquare,adjr,adjrRound,predrsq,cp,cpd,aic,sbic,sbc,msep,fpe,apc,hsp
11,16369,13,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.898693271,0.880896142,0.88,0.773989199,13.38324757,0,-616.2091314,-860.4445158,-579.0490792,5.37E-05,5.22E-05,0.139639005,6.17E-07
9,15914,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS,0.894790694,0.879563032,0.88,0.829212683,12.21014491,1,-616.8828269,-862.9510283,-584.6774483,5.28E-05,5.18E-05,0.138433297,6.07E-07
4,16278,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT,0.89693874,0.880448939,0.88,0.815688884,12.65417149,1,-616.6981073,-861.8472197,-582.0153919,5.31E-05,5.19E-05,0.138789163,6.11E-07
1,16279,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS,0.896070679,0.879441988,0.88,0.821901508,13.28296609,1,-615.960008,-861.3582586,-581.2772926,5.36E-05,5.23E-05,0.139958152,6.16E-07
2,16370,13,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.897633316,0.87964998,0.88,0.809832489,14.15104338,1,-615.2931865,-859.8666603,-578.1331343,5.42E-05,5.28E-05,0.141100023,6.23E-07
6,16383,14,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.89922235,0.879895129,0.88,0.770785626,15,1,-614.6699199,-858.3231618,-575.0325309,5.49E-05,5.32E-05,0.142193123,6.31E-07
12,16280,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_USSLIND,0.895666298,0.878972905,0.88,0.811552282,13.57588672,2,-615.6182707,-861.1312959,-580.9355553,5.38E-05,5.25E-05,0.140502719,6.19E-07
7,16371,13,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.896893083,0.878779706,0.88,0.804444871,14.68724404,2,-614.659131,-859.4649486,-577.4990788,5.46E-05,5.31E-05,0.142120345,6.28E-07
13,16281,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.893609223,0.876586698,0.88,0.760506013,15.06596379,3,-613.9001187,-859.9847077,-579.2174033,5.49E-05,5.36E-05,0.143272913,6.31E-07
14,15915,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT,0.890835043,0.875034851,0.88,0.812813369,15.0754883,4,-613.6348917,-860.6848928,-581.4295131,5.48E-05,5.37E-05,0.143638102,6.30E-07
3,16282,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.892428075,0.875216567,0.88,0.801106418,15.92154849,4,-612.928528,-859.3323018,-578.2458126,5.55E-05,5.42E-05,0.144863526,6.38E-07
10,16283,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.892254144,0.875014807,0.88,0.764288048,16.04753834,4,-612.7863574,-859.2365943,-578.103642,5.56E-05,5.42E-05,0.145097753,6.39E-07
5,16372,13,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.893919941,0.875284255,0.88,0.757461766,16.8408898,4,-612.157502,-857.866603,-574.9974498,5.62E-05,5.47E-05,0.14621846,6.46E-07
8,16373,13,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.89386706,0.875222084,0.88,0.764696732,16.87919531,4,-612.1136446,-857.8383919,-574.9535923,5.62E-05,5.47E-05,0.14629135,6.46E-07
24,15916,11,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS,0.890558692,0.874718502,0.87,0.848298372,15.27566769,4,-613.4124014,-860.5285919,-581.2070228,5.49E-05,5.38E-05,0.144001721,6.32E-07
17,15917,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT,0.890557411,0.874717037,0.87,0.804733716,15.27659517,4,-613.4113719,-860.5278683,-581.2059933,5.49E-05,5.38E-05,0.144003406,6.32E-07
22,15918,11,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT,0.890409203,0.874547377,0.87,0.845011534,15.3839523,4,-613.292282,-860.4441508,-581.0869034,5.50E-05,5.39E-05,0.144198417,6.33E-07
36,16284,12,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.892140622,0.874883121,0.87,0.818836378,16.12976985,4,-612.6936887,-859.1741776,-578.0109733,5.56E-05,5.43E-05,0.145250629,6.39E-07
100,16285,12,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.891961431,0.87467526,0.87,0.844552727,16.25956983,4,-612.5476122,-859.0757351,-577.8648968,5.57E-05,5.44E-05,0.14549194,6.40E-07
47,16286,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.891741594,0.874420249,0.87,0.736055064,16.41881261,4,-612.3687315,-858.9550968,-577.6860161,5.58E-05,5.45E-05,0.145787987,6.42E-07
29,16374,13,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.893449473,0.874731137,0.87,0.820398524,17.18168161,4,-611.7680821,-857.6158838,-574.6080299,5.64E-05,5.49E-05,0.146866943,6.49E-07
94,14913,10,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS,0.888227163,0.87371121,0.87,0.82638749,14.96454989,5,-613.5573473,-861.3939311,-583.8293055,5.47E-05,5.37E-05,0.143707933,6.28E-07
92,14914,10,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS,0.888196657,0.873676742,0.87,0.848022454,14.98664794,5,-613.5333323,-861.3763378,-583.8052905,5.47E-05,5.37E-05,0.143747156,6.29E-07
93,15919,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS,0.889871849,0.873932248,0.87,0.813415061,15.77319376,5,-612.8618481,-860.1412416,-580.6564695,5.53E-05,5.42E-05,0.144905462,6.36E-07
81,15920,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_USSLIND,0.889791864,0.873840686,0.87,0.803828249,15.83113262,5,-612.7979574,-860.0962367,-580.5925788,5.53E-05,5.42E-05,0.145010706,6.36E-07
34,15921,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT,0.889294626,0.87327148,0.87,0.810942683,16.19131517,5,-612.4018115,-859.8169407,-580.1964329,5.56E-05,5.45E-05,0.145664966,6.39E-07
101,15922,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS,0.889236102,0.873204485,0.87,0.820200997,16.23370801,5,-612.3553029,-859.7841226,-580.1499243,5.56E-05,5.45E-05,0.145741971,6.39E-07
74,15923,11,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_USSLIND,0.889046656,0.87298762,0.87,0.838688997,16.37093611,5,-612.2049202,-859.6779669,-579.9995417,5.57E-05,5.46E-05,0.145991241,6.40E-07
66,16287,12,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.891340992,0.873955551,0.87,0.838284803,16.70899529,5,-612.0436954,-858.7356409,-577.36098,5.60E-05,5.47E-05,0.146327464,6.44E-07
96,16288,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.89129146,0.873898093,0.87,0.807788174,16.74487485,5,-612.0035897,-858.7085403,-577.3208743,5.61E-05,5.47E-05,0.146394168,6.44E-07
87,16289,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.890753051,0.873273539,0.87,0.797689924,17.13488016,5,-611.5688216,-858.4144414,-576.8861062,5.63E-05,5.50E-05,0.147119224,6.48E-07
102,16290,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.890432789,0.872902035,0.87,0.800551764,17.36686771,5,-611.311223,-858.2399184,-576.6285076,5.65E-05,5.52E-05,0.147550511,6.50E-07
58,16375,13,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.892340474,0.873427314,0.87,0.73404075,17.98500354,5,-610.8568947,-857.0272428,-573.6968425,5.70E-05,5.55E-05,0.148395563,6.56E-07
57,14915,10,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS,0.886478986,0.871735997,0.87,0.819158402,16.23087179,6,-612.1916403,-860.3911971,-582.4635985,5.55E-05,5.46E-05,0.145955589,6.38E-07
52,15924,11,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.88836545,0.872207818,0.87,0.807814625,16.8643797,6,-611.6662892,-859.2972405,-579.4609106,5.60E-05,5.49E-05,0.146887566,6.44E-07
40,15925,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.888081639,0.871882929,0.87,0.755531693,17.06996265,6,-611.4428492,-859.139073,-579.2374706,5.62E-05,5.51E-05,0.147261001,6.46E-07
45,15926,11,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.887532186,0.87125395,0.87,0.84698645,17.46796838,6,-611.0118781,-858.833618,-578.8064995,5.65E-05,5.53E-05,0.147983966,6.49E-07
59,16291,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.890108549,0.872525917,0.87,0.805440977,17.60173599,6,-611.0511914,-858.0635435,-576.368476,5.67E-05,5.53E-05,0.147987154,6.51E-07
91,16292,12,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.889274762,0.871558724,0.87,0.808380745,18.20570402,6,-610.3860229,-857.6114428,-575.7033075,5.71E-05,5.58E-05,0.149109987,6.56E-07
72,16293,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.88924122,0.871519815,0.87,0.755414194,18.23000109,6,-610.3593687,-857.5932987,-575.6766533,5.71E-05,5.58E-05,0.149155158,6.57E-07
55,16294,12,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.888892238,0.871114996,0.87,0.823948685,18.48279194,6,-610.0825318,-857.4047241,-575.3998164,5.73E-05,5.59E-05,0.14962512,6.59E-07
79,14916,10,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT,0.88575689,0.870920123,0.87,0.842198718,16.7539339,7,-611.6336541,-859.9802152,-581.9056124,5.59E-05,5.49E-05,0.146883998,6.42E-07
53,14917,10,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS,0.885572015,0.870711238,0.87,0.82410269,16.88785167,7,-611.4913619,-859.8752909,-581.7633202,5.60E-05,5.50E-05,0.147121695,6.43E-07
51,14918,10,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT,0.885471537,0.870597711,0.87,0.805526848,16.96063438,7,-611.4141242,-859.8183165,-581.6860825,5.60E-05,5.51E-05,0.147250881,6.44E-07
95,14919,10,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS,0.885244161,0.870340805,0.87,0.85043635,17.12533811,7,-611.2395889,-859.6895178,-581.5115471,5.61E-05,5.52E-05,0.147543221,6.45E-07
64,14920,10,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS,0.885035229,0.870104739,0.87,0.844874008,17.27668195,7,-611.0795156,-859.5713272,-581.3514738,5.62E-05,5.53E-05,0.147811849,6.46E-07
56,15927,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS,0.887287996,0.870974416,0.87,0.817692066,17.64485195,7,-610.8210193,-858.6981845,-578.6156407,5.66E-05,5.54E-05,0.148305269,6.51E-07
54,15928,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_USSLIND,0.887067173,0.870721633,0.87,0.806988105,17.80480831,7,-610.6487807,-858.5758797,-578.4434021,5.67E-05,5.56E-05,0.148595825,6.52E-07
60,15929,11,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.886879081,0.870506316,0.87,0.841381836,17.94105651,7,-610.5023362,-858.4718281,-578.2969576,5.68E-05,5.57E-05,0.148843315,6.53E-07
85,15930,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.886863381,0.870488344,0.87,0.802245333,17.95242872,7,-610.4901239,-858.4631485,-578.2847453,5.68E-05,5.57E-05,0.148863972,6.53E-07
21,15931,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_USSLIND,0.88674524,0.870353104,0.87,0.784730645,18.03800586,7,-610.3982797,-858.3978589,-578.1929011,5.69E-05,5.57E-05,0.14901942,6.54E-07
28,15932,11,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.886428573,0.869990603,0.87,0.830711786,18.26738958,7,-610.1525692,-858.2230786,-577.9471906,5.70E-05,5.59E-05,0.149436089,6.56E-07
20,15933,11,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.886226263,0.869759012,0.87,0.819888334,18.4139358,7,-609.9959507,-858.1115871,-577.7905721,5.71E-05,5.60E-05,0.149702285,6.57E-07
43,16295,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.888382307,0.870523476,0.87,0.779196732,18.85216885,7,-609.6795786,-857.1298311,-574.9968632,5.76E-05,5.62E-05,0.150311826,6.62E-07
27,12911,9,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS,0.88314292,0.869659411,0.87,0.844866645,16.64740749,8,-611.6428364,-860.5870244,-584.3921314,5.57E-05,5.49E-05,0.146820433,6.40E-07
19,14921,10,Q1 Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_USSLIND,0.884586239,0.869597439,0.87,0.831753771,17.60191483,8,-610.7365054,-859.317858,-581.0084636,5.64E-05,5.55E-05,0.148389121,6.49E-07
33,14922,10,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT,0.884549028,0.869555395,0.87,0.84564649,17.62886972,8,-610.7081371,-859.2968825,-580.9800953,5.65E-05,5.55E-05,0.148436964,6.49E-07
25,14923,10,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS,0.88380881,0.868719045,0.87,0.81485796,18.16505911,8,-610.1457231,-858.8806376,-580.4176813,5.68E-05,5.59E-05,0.149388673,6.53E-07
26,15934,11,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.885791057,0.869260816,0.87,0.843104308,18.72918445,8,-609.6599765,-857.8721963,-577.4545979,5.73E-05,5.62E-05,0.150274924,6.59E-07
15,15935,11,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.885207965,0.868593328,0.87,0.814244583,19.15155733,8,-609.2118365,-857.5524141,-577.0064579,5.76E-05,5.65E-05,0.151042151,6.63E-07
105,15936,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.884960276,0.86830979,0.87,0.710064216,19.33097513,8,-609.0221617,-857.416905,-576.8167831,5.78E-05,5.66E-05,0.151368058,6.64E-07
18,15937,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.884942707,0.868289677,0.87,0.797724423,19.34370177,8,-609.008723,-857.4073004,-576.8033444,5.78E-05,5.66E-05,0.151391175,6.64E-07
16,15938,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.884883436,0.868221828,0.87,0.726697618,19.38663521,8,-608.9634026,-857.3749064,-576.758024,5.78E-05,5.66E-05,0.151469163,6.64E-07
67,16296,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.886664805,0.868531174,0.87,0.729022767,20.09627039,8,-608.335803,-856.2096085,-573.6530876,5.84E-05,5.71E-05,0.152624729,6.72E-07
77,12912,9,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS,0.880990512,0.867258648,0.87,0.819834881,18.20654104,9,-610.0366978,-859.354661,-582.7859928,5.67E-05,5.59E-05,0.149524741,6.52E-07
88,12913,9,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT,0.880706404,0.866941759,0.87,0.844895794,18.41233922,9,-609.8268685,-859.1932639,-582.5761635,5.68E-05,5.60E-05,0.149881697,6.54E-07
50,14924,10,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.88316545,0.867992132,0.87,0.811961163,18.63108758,9,-609.6598043,-858.5204006,-579.9317625,5.71E-05,5.62E-05,0.15021585,6.57E-07
23,14925,10,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.883021987,0.867830038,0.87,0.845365553,18.73500734,9,-609.5518141,-858.4402656,-579.8237723,5.72E-05,5.62E-05,0.150400302,6.58E-07
37,14926,10,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT,0.882485505,0.867223883,0.87,0.801200264,19.12361726,9,-609.1491529,-858.141224,-579.4211112,5.75E-05,5.65E-05,0.151090065,6.61E-07
75,14927,10,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_USSLIND,0.882127322,0.866819182,0.87,0.803784819,19.38307355,9,-608.8813374,-857.9421147,-579.1532956,5.76E-05,5.67E-05,0.151550586,6.63E-07
104,15939,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.88460201,0.867899669,0.87,0.797801801,19.59049152,9,-608.7485305,-857.2212461,-576.5431519,5.79E-05,5.68E-05,0.151839461,6.66E-07
70,16297,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.885299135,0.866946997,0.87,0.707736969,21.0855166,9,-607.2817558,-855.4840428,-572.5990404,5.91E-05,5.78E-05,0.154463831,6.80E-07
48,12914,9,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS,0.880470594,0.86667874,0.87,0.847883388,18.58315214,10,-609.6530889,-859.059526,-582.4023839,5.70E-05,5.61E-05,0.150177971,6.55E-07
42,12915,9,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS,0.880273679,0.866459104,0.87,0.848722487,18.72579084,10,-609.5082353,-858.9480011,-582.2575304,5.70E-05,5.62E-05,0.150425377,6.56E-07
80,14928,10,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.881330251,0.865918595,0.87,0.838006078,19.96044546,10,-608.2882724,-857.5005936,-578.5602306,5.80E-05,5.70E-05,0.152575392,6.67E-07
31,14929,10,Q1 Q3 Q4 xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_USSLIND,0.881047678,0.865599324,0.87,0.841875401,20.16513212,10,-608.0789783,-857.3445818,-578.3509365,5.82E-05,5.72E-05,0.1529387,6.69E-07
38,14930,10,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT,0.880975,0.865517208,0.87,0.805441132,20.21777706,10,-608.0252287,-857.3044993,-578.297187,5.82E-05,5.72E-05,0.153032142,6.69E-07
