test2_z.date,xYield_WGS10YR,xYield_FEDMINFRMWG,xYield_GDPPOT,xYield_AAA10Y,xYield_NYXRSA,xYield_CPIHOSNS,xYield_MSPUS,xYield_UEMPMEAN,xYield_CASTHPI,xYield_FDHBFIN,xYield_POP,xYield_USSTHPI,xYield_POPTHM,xYield_WTB3MS,xYield_CSCICP03USM665S,xYield_DGS3MO,xYield_USSLIND,xYield_DTB3,xYield_MICH,xYield_UMCSENT,xYield_BOXRSA,xYield_TB3MS,xYield_GS30,xYield_DGS30,xYield_RU2000PR,xYield_PCDG,xYield_TOTALSL,xYield_MSPNHSUS,xYield_DGS10,xYield_CPALTT01USQ657N,xYield_MVLOAS,xYield_REALLN,xYield_LNS14000031,xYield_ASPUS,xYield_GS3M,xYield_FEDMINNFRWG,xYield_DRCLACBS,xYield_SDXRSA,xYield_GS10,xYield_PCEDG,xYield_CPIFABSL,yFYield_CSUSHPINSA,Q1,Q2,Q3,Q4,BL_yFYield_CSUSHPINSA
1989-03-31,0.009820821917808198,0.0,0.00798703553652036,0.01592989286714519,-0.0007190515961892352,0.0074875207986688785,0.035996488147497896,-0.036175968992248064,0.04651162790697683,0.031198233020430788,0.0013058003056214407,0.011512838755578292,0.0013012919476720342,0.050541346035648305,0.000766109922446967,0.05362732897085065,-0.0842105263157894,0.052099801006196156,-0.034187948717948724,0.0431628944504896,0.005159496021702958,0.058240396530359284,0.002959711431742562,0.007301523302434054,0.06235827193111532,0.0005944520550762444,0.0301404064773394,-0.024793388429752095,0.00894184008762311,0.07000074820551383,-0.0003149734304672691,0.029792582200254936,0.030612244897959107,0.02777777777777768,0.059481038323353275,0.0,0.03939393939393954,0.04259886377826372,0.010611086717892348,-0.024921427139707353,0.01074380165289246,0.017413518188206245,1,0,0,0,1
1989-06-30,-0.04975367934525765,0.0,0.00795819935691311,0.5009356603349513,-0.010363477822757594,0.009083402146986108,0.007627118644067732,-0.04557588353240849,0.04942791762013732,-0.019009370816599813,0.0021771486252994965,0.01381162478419351,0.002259998872029323,-0.016291629245593242,-0.0038615986709393813,-0.017233200120640335,-0.3448275862068966,-0.016782474348753573,0.12389361735454707,-0.051460429365075444,-0.001282354033334987,-0.015222482435597096,-0.036149058054258165,-0.03771308568831522,0.08260573329354481,0.014169978065622368,0.020018751207760532,0.012711864406779627,-0.04924965036080975,0.48356164838520543,0.017873977941408548,0.0322078663130716,-0.036303663366336614,0.017325017325017233,-0.015448380175038134,0.0,0.026239067055393583,0.05756709114528458,-0.047067413212620646,0.014115251876438917,0.017170891251022224,0.012745729431563602,0,1,0,0,1
1989-09-30,-0.07396991875656822,0.0,0.0078497943558955,0.1917693197118875,-0.018684316274445334,0.015820785597381315,0.00925147182506314,-0.025280891775030345,0.05756650675970332,0.06932314410480367,0.002686363697113503,0.021255124566382788,0.0027568919261931057,-0.066886266788586,0.0008676479787850244,-0.06776780409335725,-0.18421052631578938,-0.06618262491632565,-0.13385812077623005,0.016862244019876904,-0.01923213618194397,-0.06738010344827583,-0.0681208955223882,-0.0665947418299605,0.04553445232449049,0.024919731465265604,0.012891384133445039,0.0011154811715481383,-0.07427623916001524,-0.5080862525658132,0.009850876800341801,0.03588244133070151,0.0,0.023160762942779245,-0.06888633754305407,0.0,0.014204545454545414,0.0399812097600154,-0.07598776884452019,0.02493243411705648,0.010717845659163894,0.003317931399604346,0,0,1,0,1
1989-12-31,-0.024665590095877654,0.0,0.007698220704935199,0.14483862609140208,-0.003917366478451534,0.003759668034282404,0.040000000000000036,0.014408641380795117,0.03166093928980529,0.08754466564573771,0.0028221523000926396,0.008337450592885487,0.002729126522063252,-0.024612668773060897,3.69652962444178e-05,-0.02530018201532458,0.18996416129032268,-0.024918174519106717,-0.0363638148760167,-0.007570295329117016,-0.008693230615096637,-0.024224394400435445,-0.02258735020175151,-0.02284889385408817,-0.031009154311085196,-0.027199300685470718,0.014333373299809438,0.039844257409935135,-0.02471341209207334,0.19037432094324425,-0.008206838236297087,0.030854992261561964,0.07876716023175212,0.0066577896138482195,-0.025071927250308157,0.0,0.0028011204481792618,0.03377771605853308,-0.024671051617144335,-0.027226450473099906,0.011665167461603287,0.0016906011646509178,0,0,0,1,1
1990-03-31,0.06419604722131811,0.0,0.007527231526872624,-0.21301769720948016,-0.007588451213929259,0.013376404494382044,-0.007211538461538436,-0.0028406258069960666,0.012035885592467599,0.04529453180004683,0.002243473686712072,0.005512341520181208,0.0022627139764459514,0.014376193830175188,-0.0008059527825541313,0.014970425405684606,0.38554216148933085,0.014650393900877079,0.12264170968318,-0.005448601327693425,-0.002497566628295811,0.013937282671575568,0.06386559091872224,0.06410355635903997,-0.046832005060991166,0.04779369161490998,0.010454195061530669,-0.005090836012861755,0.06535571778112748,0.7883415867515238,-0.011630025611495842,0.028529485393500753,-0.0539682857142858,-0.011243386243386277,0.014755479757691647,0.0,0.005586592178770999,0.02255188863581048,0.06534561275945983,0.047777172148470326,0.023584905660377187,0.00843821732383021,1,0,0,0,1
1990-06-30,0.030435992497285902,0.13432835820895517,0.007315117910348112,-0.06643594932833985,-0.016990466984573738,0.008975446416196853,0.023405972558514954,0.0,0.003335235002413617,0.012572968118545136,0.00297629692560486,0.0041420478772005165,0.0031120411125256098,-0.0018830519329797735,-0.0008734302768346192,-0.0019507947921211244,-0.26956521580340265,-0.002174485061720688,-0.09243705105570987,-0.003652373862221503,-0.02673468747902963,-0.001718212628865956,0.0248815165876779,0.024421762534746705,0.02227284579176314,-0.0329592505927504,0.0025694750868630045,0.023431181408246404,0.02970795730371467,-0.4101536093642383,0.0074260352971458055,0.03013499323561053,-0.04362412898067536,0.011371237458194017,-0.0012463647699403335,0.13432835820895517,0.002777777777777768,0.012166926115133148,0.030075268305313374,-0.032856992894574,0.00691244239631339,0.0017555339692003624,0,1,0,0,1
1990-09-30,0.0031044792228318574,0.0,0.0071293563683390015,-0.031043658360801807,-0.02588359289360298,0.0201467817896388,-0.07728706624605675,0.03988632478632481,0.008354109259502307,0.028381374722838082,0.003475532038082596,0.006005459508644284,0.0035388909579474603,-0.034653957090793885,-0.014481976707208521,-0.035626534956371025,-0.7589285714285714,-0.03479223019156963,0.17592583333333334,-0.12976540065122433,-0.02574321411662106,-0.034853700501353724,0.016955722543352536,0.01661089806736582,-0.09105553738534455,-0.009704919874720885,0.010282166484522293,-0.07868445297777549,0.0031291909837150023,0.7006806783852095,0.0021440630858626797,0.027040191768112676,0.1438596842105262,-0.037698412698412676,-0.036605656837190415,0.0,0.05540166204986163,-0.00342634073555681,0.00307329992034977,-0.009763793871717552,0.013729977116704983,-0.012934239249777324,0,0,1,0,0
1990-12-31,-0.03298257052836051,0.0,0.00692523815795254,0.2825714021501595,-0.020260711431138834,0.004103358783442257,0.03846153846153855,0.016438351660725603,-0.00667996876897714,0.05023717119448046,0.003602848897962696,-0.0038591413410516973,0.003539580046984181,-0.06387574602676893,-0.014569552342273195,-0.06550368882474611,-2.0246913703703706,-0.06450380299407577,0.11811024552049187,-0.17691660391392605,-0.02641792748252514,-0.06509139586933066,-0.02841985492914534,-0.026892300559614557,-0.16207572502685275,-0.025574893125595244,0.003489576590208765,0.04513024850042835,-0.0339378044814147,-0.0609909652057119,-0.021935657242866724,0.019644394406923116,0.06441717593812357,0.0316151202749142,-0.06563039766839374,0.0,0.052493438320209806,-0.009918269087186737,-0.03523546668845157,-0.025596135233596717,0.009029345372460362,-0.014530265847305879,0,0,0,1,0
1991-03-31,-0.046360642049720346,0.0,0.00667051783709538,0.019196004498823083,-0.023608579766332016,0.013537931034482753,-0.012345679012345734,0.01886764990090306,-0.0009606986899562964,0.010059536029562777,0.00313913655840814,0.008232445520581111,0.003084121031470488,-0.13745742194675947,0.009937368372991084,-0.13958147124404274,0.18072288938888081,-0.1381264215025767,-0.2535211446141651,0.15097247446123196,-0.03419507977069414,-0.13829279971387698,-0.040951636468344876,-0.041377830294485385,0.19614924866124217,-0.01924536383426856,-0.005161327051921849,-0.01530499718365752,-0.04553919310661192,-0.4926023753280382,-0.02992345653789663,0.020208888653634238,-0.03170031608932822,0.0066622251832111345,-0.13955637621975814,0.0,0.02743142144638422,-0.02353348516430509,-0.04525605219309026,-0.019198712170689802,0.01118568232662187,0.00628109590649184,1,0,0,0,1
1991-06-30,0.012752813778777572,0.11842105263157898,0.0064205978843427935,-0.14754064071762585,-0.01273251363157446,0.004788053228817368,-0.0008333333333333526,0.06084682539682551,-0.006294256490951944,0.020325203252032464,0.0031293132168863647,0.006844380403458139,0.0031927718246409498,-0.07949044583962028,0.009081534196886398,-0.0765360885019929,-2.275510201270304,-0.07768785299254233,-0.09433953720184318,0.0769229845743451,-0.011982584750814484,-0.07692307641224305,0.014640097005282904,0.013441867480567193,0.15660040187541857,0.007540953717582122,-0.00013910090525826035,-0.011934221482098328,0.012750825204062455,-0.2786619892248252,-0.02284710017574665,0.012988324031028897,0.08928571428571419,-0.019192587690271323,-0.07572502681217774,0.11842105263157898,0.021844660194174637,-0.01217213741318024,0.014137171969348383,0.007490566037735791,0.011553834808259555,0.010253590967232773,0,1,0,0,1
