,test2_z.date,scaled.BL_yFYield_CSUSHPINSA,scaled.yFYield_CSUSHPINSA,scaled.xYield_CASTHPI,scaled.xYield_TB3MS,scaled.xYield_MSPNHSUS,scaled.xYield_MVLOAS,scaled.Q1,scaled.Q2,scaled.BL_yFYield_CSUSHPINSA,scaled.yFYield_CSUSHPINSA,scaled.xYield_CASTHPI,scaled.xYield_TB3MS,scaled.xYield_MSPNHSUS,scaled.xYield_MVLOAS,scaled.Q1,scaled.Q2,unscaled.BL_yFYield_CSUSHPINSA,unscaled.yFYield_CSUSHPINSA,unscaled.xYield_CASTHPI,unscaled.xYield_TB3MS,unscaled.xYield_MSPNHSUS,unscaled.xYield_MVLOAS,unscaled.Q1,unscaled.Q2,scaled.yFYield_CSUSHPINSA,distance
15,9/30/1992,-1.744407445,-0.586792834,-0.47734367,-0.436600176,0.042330975,0.241713873,-0.581394901,-0.581394901,0.040544034,0.278671425,0.316558709,0.331200667,0.516882574,0.59549906,0.280487167,0.280487167,0,-0.001834244,-0.001951739,-0.162137682,0.009789648,0.016475333,0,0,0.278671425,-0.113147443
16,12/31/1992,-1.744407445,-0.613968518,-0.748914368,-0.121640402,1.484014844,-0.649314687,-0.581394901,-0.581394901,0.040544034,0.269618066,0.22695441,0.451591907,0.931097509,0.258067497,0.280487167,0.280487167,0,-0.002329578,-0.009333333,-0.004324323,0.052354585,-5.19E-04,0,0,0.269618066,-0.095219057
17,3/31/1993,0.568402426,0.015979907,-0.984873719,-0.184519843,-0.957913918,-0.332338761,1.705425043,-0.581394901,0.715119128,0.506374789,0.162343052,0.426802831,0.169053084,0.369816737,0.955942409,0.280487167,1,0.009152569,-0.015746972,-0.035830619,-0.019742043,0.005526787,1,0,0.506374789,-0.105925787
18,6/30/1993,0.568402426,0.227117456,-0.719125318,-0.108515042,0.529314334,0.670476213,-0.581394901,1.705425043,0.715119128,0.589833795,0.236031855,0.456793575,0.701706293,0.748722867,0.280487167,0.955942409,1,0.013000999,-0.008523634,0.002252253,0.024167568,0.024652848,0,1,0.589833795,0.063280694
19,9/30/1993,0.568402426,-0.426429151,-0.718438493,-0.088343167,-0.422454073,1.30116057,-0.581394901,-0.581394901,0.715119128,0.334897582,0.23624348,0.464801965,0.336346808,0.903398251,0.280487167,0.280487167,1,0.001088725,-0.008504965,0.012359548,-0.00393288,0.036681496,0,0,0.334897582,-0.083039194
20,12/31/1993,0.568402426,-0.416196451,-0.627300309,-0.075353918,-0.280313164,0.828480134,-0.581394901,-0.581394901,0.715119128,0.338633128,0.2652312,0.469966562,0.389618626,0.796300679,0.280487167,0.280487167,1,0.001275237,-0.006027728,0.018867926,2.64E-04,0.027666358,0,0,0.338633128,-0.0863181
21,3/31/1994,0.568402426,0.184284187,-0.771090002,0.006562475,0.441628066,0.19104507,1.705425043,-0.581394901,0.715119128,0.573104741,0.220326793,0.50261803,0.670620814,0.575754859,0.955942409,0.280487167,1,0.012220272,-0.009936092,0.059912853,0.021578679,0.015508959,1,0,0.573104741,0.034291679
22,6/30/1994,0.568402426,0.230905165,-1.28958634,0.344397546,0.07720097,1.921769857,-0.581394901,1.705425043,0.715119128,0.591305761,0.098597161,0.634726333,0.530768165,0.972682639,0.280487167,0.955942409,1,0.013070038,-0.024029401,0.22918808,0.010819165,0.048517987,0,1,0.591305761,0.078867312
23,9/30/1994,-1.744407445,-0.526721746,-0.949026987,0.132289932,-0.720832939,1.816971848,-0.581394901,-0.581394901,0.040544034,0.299193416,0.171303443,0.552622515,0.235506153,0.965389288,0.280487167,0.280487167,0,-7.39E-04,-0.014772618,0.122909699,-0.012742355,0.046519241,0,0,0.299193416,-0.085700711
24,12/31/1994,-1.744407445,-0.58490589,-0.951767905,0.245129578,0.541343466,0.564244661,-0.581394901,-0.581394901,0.040544034,0.279305499,0.170607351,0.596821949,0.705864567,0.713706181,0.280487167,0.280487167,0,-0.00179985,-0.014847119,0.179448994,0.024522722,0.022626761,0,0,0.279305499,-0.04200427
